t1(us),t2(us),tab1(us),tab2(us),tab3(us),tab4(us),tab5(us),tab6(us),tab7(us)
503421,504434,215430,92915,149788,183733,259747,230702,49688
503766,504140,215428,92921,149765,183706,259749,230700,49695
503480,503767,215417,92900,149769,183698,259793,230681,49694
504110,503635,215431,92912,149759,183701,259747,230687,49691
504076,503781,215431,92904,149775,183710,259757,230711,49691
504159,503412,215422,92910,149758,183707,259774,230688,49680
503872,503538,215435,92906,149767,183718,259725,230672,49694
503896,503250,215444,92908,149770,183726,259768,230622,49675
503378,503739,215421,92911,149767,183706,259762,230634,49688
503952,503858,215423,92904,149770,183720,259753,230668,49680
503481,503871,215433,92907,149772,183702,259751,230675,49684
503705,504124,215434,92912,149756,183711,259746,230705,49690
503327,503497,215431,92912,149758,183731,259772,230708,49693
504125,503872,215421,92920,149771,183708,259757,230719,49683
504247,503722,215416,92919,149762,183701,259782,230704,49669
503395,503393,215438,92914,149768,183713,259764,230732,49671
503991,504047,215409,92907,149751,183692,259739,230660,49685
504189,503841,215420,92909,149789,183716,259745,230609,49684
503811,503877,215419,92906,149755,183707,259754,230683,49670
503519,504443,215403,92909,149757,183715,259743,230650,49672
503230,504237,215419,92915,149769,183712,259744,230677,49696
503774,503628,215430,92910,149750,183696,259745,230666,49684
503610,504206,215404,92904,149754,183715,259776,230683,49703
503201,504026,215423,92904,149760,183701,259758,230632,49691
503862,503796,215412,92903,149769,183708,259740,230696,49684
503492,504005,215416,92915,149763,183710,259757,230704,49682
503275,503976,215418,92910,149762,183723,259749,230735,49686
503621,503849,215420,92905,149780,183708,259749,230691,49680
503425,503901,215416,92904,149750,183720,259745,230626,49671
503840,504019,215468,92908,149755,183701,259745,230740,49685
503684,504072,215426,92910,149766,183695,259753,230738,49669
503564,504030,215425,92906,149772,183703,259737,230721,49671
503507,503709,215437,92912,149758,183698,259755,230710,49691
503725,503937,215417,92921,149765,183699,259779,230724,49670
503710,503983,215412,92909,149762,183688,259761,230733,49687
503500,503840,215422,92915,149763,183714,259753,230705,49676
503749,504135,215423,92917,149772,183700,259749,230727,49687
503743,504296,215421,92919,149768,183722,259760,230685,49671
503694,504049,215420,92922,149759,183712,259768,230673,49671
503459,504144,215423,92915,149766,183706,259741,230714,49662
503387,504126,215417,92919,149762,183686,259764,230701,49690
503385,504166,215425,92917,149760,183706,259764,230690,49670
503204,504150,215426,92915,149771,183707,259755,230699,49669
503507,503994,215421,92919,149764,183709,259755,230710,49687
503527,503922,215431,92920,149759,183709,259744,230737,49671
503620,504011,215425,92922,149772,183709,259752,230683,49676
503311,504011,215411,92918,149763,183716,259729,230723,49675
503502,504014,215426,92916,149764,183722,259774,230723,49666
503321,504188,215437,92915,149763,183700,259741,230711,49669
503554,504234,215425,92924,149774,183718,259754,230718,49664
503515,504052,,,,,,,
502791,504026,,,,,,,
503398,503914,,,,,,,
503588,504067,,,,,,,
503687,504064,,,,,,,
503419,504261,,,,,,,
503131,503968,,,,,,,
503684,504390,,,,,,,
503517,504227,,,,,,,
503709,503178,,,,,,,
503799,503419,,,,,,,
503680,504210,,,,,,,
503722,504018,,,,,,,
503624,504178,,,,,,,
503595,504321,,,,,,,
503849,504139,,,,,,,
503677,504207,,,,,,,
504088,503922,,,,,,,
503773,503810,,,,,,,
503672,504026,,,,,,,
503738,504106,,,,,,,
503393,504018,,,,,,,
503971,503600,,,,,,,
503577,504046,,,,,,,
503275,503535,,,,,,,
503621,503924,,,,,,,
503603,503979,,,,,,,
503692,503684,,,,,,,
503206,504035,,,,,,,
503581,503958,,,,,,,
503745,503896,,,,,,,
503472,504225,,,,,,,
503595,504119,,,,,,,
503707,503912,,,,,,,
503772,503365,,,,,,,
503661,503881,,,,,,,
503545,503863,,,,,,,
503717,503702,,,,,,,
503686,503248,,,,,,,
503641,503639,,,,,,,
503571,503763,,,,,,,
503385,503625,,,,,,,
503790,503594,,,,,,,
502882,503863,,,,,,,
503710,503959,,,,,,,
503537,503491,,,,,,,
503723,503701,,,,,,,
503537,503652,,,,,,,
503829,503862,,,,,,,
503985,503310,,,,,,,