"Time (s) Run #5","Temperature (Â°C) Run #5"
0.000,24.1
0.500,24.1
1.000,24.1
1.500,24.1
2.000,24.1
2.500,24.1
3.000,24.1
3.500,24.1
4.000,24.1
4.500,24.1
5.000,24.1
5.500,24.1
6.000,24.1
6.500,24.1
7.000,24.1
7.500,24.1
8.000,24.1
8.500,24.1
9.000,24.1
9.500,24.1
10.000,24.1
10.500,24.1
11.000,24.1
11.500,24.1
12.000,24.1
12.500,24.1
13.000,24.1
13.500,24.1
14.000,24.1
14.500,24.1
15.000,24.1
15.500,24.1
16.000,24.1
16.500,24.1
17.000,24.1
17.500,24.1
18.000,24.1
18.500,24.1
19.000,24.1
19.500,24.1
20.000,24.1
20.500,24.1
21.000,24.1
21.500,24.1
22.000,24.1
22.500,24.1
23.000,24.1
23.500,24.1
24.000,24.1
24.500,24.1
25.000,24.1
25.500,24.1
26.000,24.1
26.500,24.1
27.000,24.1
27.500,24.1
28.000,24.1
28.500,24.1
29.000,24.1
29.500,24.1
30.000,24.1
30.500,24.1
31.000,24.1
31.500,24.2
32.000,24.2
32.500,24.2
33.000,24.2
33.500,24.2
34.000,24.2
34.500,24.2
35.000,24.2
35.500,24.2
36.000,24.2
36.500,24.1
37.000,24.1
37.500,24.2
38.000,25.4
38.500,28.3
39.000,30.6
39.500,31.6
40.000,31.9
40.500,34.7
41.000,44.6
41.500,53.2
42.000,60.1
42.500,65.4
43.000,69.4
43.500,72.1
44.000,74.3
44.500,76.1
45.000,77.4
45.500,78.6
46.000,79.8
46.500,80.7
47.000,81.6
47.500,82.3
48.000,82.9
48.500,83.4
49.000,83.7
49.500,84.1
50.000,84.5
50.500,84.8
51.000,85.1
51.500,85.3
52.000,85.5
52.500,85.7
53.000,85.9
53.500,86.1
54.000,86.3
54.500,86.6
55.000,86.7
55.500,86.9
56.000,87.0
56.500,87.1
57.000,87.2
57.500,87.3
58.000,87.4
58.500,87.4
59.000,87.5
59.500,87.5
60.000,87.6
60.500,87.7
61.000,87.7
61.500,87.8
62.000,87.8
62.500,87.9
63.000,88.0
63.500,88.1
64.000,88.1
64.500,88.2
65.000,88.3
65.500,88.4
66.000,88.5
66.500,88.5
67.000,88.6
67.500,88.6
68.000,88.6
68.500,88.7
69.000,88.7
69.500,88.7
70.000,88.7
70.500,88.7
71.000,88.8
71.500,88.8
72.000,88.8
72.500,88.8
73.000,88.8
73.500,88.8
74.000,88.9
74.500,88.9
75.000,89.0
75.500,89.0
76.000,89.1
76.500,89.1
77.000,89.1
77.500,89.1
78.000,89.1
78.500,89.1
79.000,89.1
79.500,89.1
80.000,89.1
80.500,89.1
81.000,89.1
81.500,89.2
82.000,89.2
82.500,89.2
83.000,89.2
83.500,89.2
84.000,89.2
84.500,89.2
85.000,89.2
85.500,89.2
86.000,89.2
86.500,89.1
87.000,89.1
87.500,89.1
88.000,89.1
88.500,89.1
89.000,89.1
89.500,89.2
90.000,89.2
90.500,89.2
91.000,89.2
91.500,89.2
92.000,89.2
92.500,89.2
93.000,89.2
93.500,89.2
94.000,89.2
94.500,89.2
95.000,89.2
95.500,89.2
96.000,89.2
96.500,89.2
97.000,89.3
97.500,89.3
98.000,89.3
98.500,89.3
99.000,89.3
99.500,89.3
100.000,89.4
100.500,89.4
101.000,89.4
101.500,89.4
102.000,89.3
102.500,89.3
103.000,89.3
103.500,89.3
104.000,89.3
104.500,89.3
105.000,89.3
105.500,89.3
106.000,89.3
106.500,89.3
107.000,89.3
107.500,89.3
108.000,89.3
108.500,89.3
109.000,89.3
109.500,89.3
110.000,89.3
110.500,89.2
111.000,89.2
111.500,89.2
112.000,89.2
112.500,89.2
113.000,89.2
113.500,89.2
114.000,89.2
114.500,89.2
115.000,89.1
115.500,89.1
116.000,89.1
116.500,89.1
117.000,89.1
117.500,89.1
118.000,89.1
118.500,89.1
119.000,89.1
119.500,89.1
120.000,89.1
120.500,89.1
121.000,89.1
121.500,89.1
122.000,89.1
122.500,89.1
123.000,89.1
123.500,89.1
124.000,89.1
124.500,89.1
125.000,89.1
125.500,89.1
126.000,89.1
126.500,89.1
127.000,89.1
127.500,89.1
128.000,89.1
128.500,89.0
129.000,89.0
129.500,89.0
130.000,89.0
130.500,89.0
131.000,88.9
131.500,88.9
132.000,88.9
132.500,88.9
133.000,88.9
133.500,88.9
134.000,88.9
134.500,88.9
135.000,88.9
135.500,88.9
136.000,88.9
136.500,88.9
137.000,88.9
137.500,88.9
138.000,88.9
138.500,88.9
139.000,88.9
139.500,88.9
140.000,88.9
140.500,88.9
141.000,88.9
141.500,88.9
142.000,88.9
142.500,88.8
143.000,88.8
143.500,88.8
144.000,88.8
144.500,88.8
145.000,88.8
145.500,88.7
146.000,88.7
146.500,88.7
147.000,88.7
147.500,88.7
148.000,88.7
148.500,88.7
149.000,88.7
149.500,88.7
150.000,88.7
150.500,88.7
151.000,88.7
151.500,88.7
152.000,88.7
152.500,88.7
153.000,88.7
153.500,88.7
154.000,88.7
154.500,88.7
155.000,88.6
155.500,88.6
156.000,88.6
156.500,88.6
157.000,88.6
157.500,88.6
158.000,88.6
158.500,88.6
159.000,88.6
159.500,88.6
160.000,88.6
160.500,88.6
161.000,88.6
161.500,88.6
162.000,88.6
162.500,88.6
163.000,88.6
163.500,88.6
164.000,88.5
164.500,88.5
165.000,88.5
165.500,88.5
166.000,88.5
166.500,88.5
167.000,88.5
167.500,88.5
168.000,88.5
168.500,88.5
169.000,88.5
169.500,88.5
170.000,88.5
170.500,88.4
171.000,88.4
171.500,88.4
172.000,88.4
172.500,88.4
173.000,88.4
173.500,88.4
174.000,88.4
174.500,88.4
175.000,88.3
175.500,88.3
176.000,88.3
176.500,88.3
177.000,88.3
177.500,88.3
178.000,88.3
178.500,88.3
179.000,88.3
179.500,88.3
180.000,88.3
180.500,88.3
181.000,88.3
181.500,88.3
182.000,88.3
182.500,88.3
183.000,88.3
183.500,88.3
184.000,88.3
184.500,88.3
185.000,88.3
185.500,88.3
186.000,88.3
186.500,88.3
187.000,88.2
187.500,88.2
188.000,88.2
188.500,88.2
189.000,88.2
189.500,88.2
190.000,88.2
190.500,88.2
191.000,88.2
191.500,88.2
192.000,88.2
192.500,88.2
193.000,88.2
193.500,88.2
194.000,88.2
194.500,88.2
195.000,88.2
195.500,88.1
196.000,88.1
196.500,88.1
197.000,88.1
197.500,88.1
198.000,88.1
198.500,88.1
199.000,88.1
199.500,88.1
200.000,88.1
200.500,88.1
201.000,88.1
201.500,88.1
202.000,88.0
202.500,88.0
203.000,88.0
203.500,88.0
204.000,88.0
204.500,88.0
205.000,88.0
205.500,88.0
206.000,88.0
206.500,88.0
207.000,88.0
207.500,88.0
208.000,88.0
208.500,88.0
209.000,88.0
209.500,88.0
210.000,88.0
210.500,88.0
211.000,88.0
211.500,88.0
212.000,88.0
212.500,87.9
213.000,87.9
213.500,87.9
214.000,87.9
214.500,87.9
215.000,87.9
215.500,87.9
216.000,87.9
216.500,87.9
217.000,87.9
217.500,87.9
218.000,87.9
218.500,87.9
219.000,87.9
219.500,87.9
220.000,87.9
220.500,87.9
221.000,87.9
221.500,87.9
222.000,87.9
222.500,87.9
223.000,87.8
223.500,87.8
224.000,87.8
224.500,87.8
225.000,87.8
225.500,87.8
226.000,87.8
226.500,87.8
227.000,87.8
227.500,87.8
228.000,87.8
228.500,87.8
229.000,87.8
229.500,87.7
230.000,87.7
230.500,87.7
231.000,87.7
231.500,87.7
232.000,87.7
232.500,87.7
233.000,87.7
233.500,87.7
234.000,87.7
234.500,87.7
235.000,87.7
235.500,87.7
236.000,87.7
236.500,87.7
237.000,87.7
237.500,87.7
238.000,87.7
238.500,87.7
239.000,87.7
239.500,87.6
240.000,87.6
240.500,87.6
241.000,87.6
241.500,87.6
242.000,87.6
242.500,87.6
243.000,87.6
243.500,87.6
244.000,87.6
244.500,87.6
245.000,87.6
245.500,87.6
246.000,87.6
246.500,87.5
247.000,87.5
247.500,87.5
248.000,87.5
248.500,87.5
249.000,87.5
249.500,87.5
250.000,87.5
250.500,87.5
251.000,87.5
251.500,87.5
252.000,87.5
252.500,87.5
253.000,87.5
253.500,87.5
254.000,87.4
254.500,87.4
255.000,87.4
255.500,87.4
256.000,87.4
256.500,87.4
257.000,87.4
257.500,87.4
258.000,87.4
258.500,87.4
259.000,87.4
259.500,87.4
260.000,87.4
260.500,87.3
261.000,87.3
261.500,87.3
262.000,87.3
262.500,87.3
263.000,87.3
263.500,87.3
264.000,87.3
264.500,87.2
265.000,87.2
265.500,87.2
266.000,87.2
266.500,87.2
267.000,87.2
267.500,87.2
268.000,87.2
268.500,87.2
269.000,87.2
269.500,87.2
270.000,87.2
270.500,87.2
271.000,87.2
271.500,87.2
272.000,87.2
272.500,87.2
273.000,87.2
273.500,87.2
274.000,87.2
274.500,87.2
275.000,87.2
275.500,87.2
276.000,87.2
276.500,87.2
277.000,87.2
277.500,87.2
278.000,87.2
278.500,87.2
279.000,87.2
279.500,87.2
280.000,87.2
280.500,87.2
281.000,87.2
281.500,87.2
282.000,87.2
282.500,87.2
283.000,87.2
283.500,87.2
284.000,87.2
284.500,87.2
285.000,87.2
285.500,87.2
286.000,87.2
286.500,87.1
287.000,87.1
287.500,87.1
288.000,87.1
288.500,87.1
289.000,87.1
289.500,87.1
290.000,87.1
290.500,87.1
291.000,87.1
291.500,87.1
292.000,87.1
292.500,87.1
293.000,87.1
293.500,87.1
294.000,87.1
294.500,87.1
295.000,87.1
295.500,87.1
296.000,87.1
296.500,87.1
297.000,87.1
297.500,87.1
298.000,87.1
298.500,87.0
299.000,87.0
299.500,87.0
300.000,87.0
300.500,87.0
301.000,87.0
301.500,87.0
302.000,87.0
302.500,87.0
303.000,87.0
303.500,87.0
304.000,87.0
304.500,87.0
305.000,86.9
305.500,86.9
306.000,86.9
306.500,86.9
307.000,86.9
307.500,86.9
308.000,86.9
308.500,86.9
309.000,86.9
309.500,86.9
310.000,86.9
310.500,86.9
311.000,86.9
311.500,86.9
312.000,86.9
312.500,86.8
313.000,86.8
313.500,86.8
314.000,86.8
314.500,86.8
315.000,86.8
315.500,86.8
316.000,86.8
316.500,86.8
317.000,86.8
317.500,86.8
318.000,86.8
318.500,86.8
319.000,86.8
319.500,86.8
320.000,86.8
320.500,86.8
321.000,86.8
321.500,86.8
322.000,86.7
322.500,86.7
323.000,86.7
323.500,86.7
324.000,86.7
324.500,86.7
325.000,86.7
325.500,86.7
326.000,86.7
326.500,86.7
327.000,86.7
327.500,86.7
328.000,86.7
328.500,86.6
329.000,86.6
329.500,86.6
330.000,86.7
330.500,86.7
331.000,86.7
331.500,86.7
332.000,86.7
332.500,86.7
333.000,86.7
333.500,86.7
334.000,86.7
334.500,86.7
335.000,86.7
335.500,86.7
336.000,86.7
336.500,86.7
337.000,86.7
337.500,86.7
338.000,86.7
338.500,86.7
339.000,86.7
339.500,86.7
340.000,86.7
340.500,86.7
341.000,86.7
341.500,86.7
342.000,86.7
342.500,86.7
343.000,86.7
343.500,86.7
344.000,86.6
344.500,86.6
345.000,86.6
345.500,86.6
346.000,86.6
346.500,86.6
347.000,86.6
347.500,86.6
348.000,86.6
348.500,86.6
349.000,86.6
349.500,86.6
350.000,86.6
350.500,86.6
351.000,86.6
351.500,86.6
352.000,86.6
352.500,86.5
353.000,86.5
353.500,86.5
354.000,86.5
354.500,86.5
355.000,86.5
355.500,86.5
356.000,86.5
356.500,86.5
357.000,86.5
357.500,86.5
358.000,86.5
358.500,86.5
359.000,86.5
359.500,86.5
360.000,86.5
360.500,86.4
361.000,86.4
361.500,86.4
362.000,86.4
362.500,86.4
363.000,86.4
363.500,86.4
364.000,86.4
364.500,86.4
365.000,86.4
365.500,86.4
366.000,86.4
366.500,86.4
367.000,86.4
367.500,86.4
368.000,86.4
368.500,86.4
369.000,86.4
369.500,86.4
370.000,86.4
370.500,86.4
371.000,86.4
371.500,86.4
372.000,86.4
372.500,86.4
373.000,86.4
373.500,86.4
374.000,86.4
374.500,86.4
375.000,86.4
375.500,86.4
376.000,86.4
376.500,86.4
377.000,86.4
377.500,86.4
378.000,86.3
378.500,86.3
379.000,86.3
379.500,86.3
380.000,86.3
380.500,86.3
381.000,86.3
381.500,86.3
382.000,86.3
382.500,86.3
383.000,86.2
383.500,86.2
384.000,86.2
384.500,86.2
385.000,86.2
385.500,86.2
386.000,86.2
386.500,86.2
387.000,86.2
387.500,86.2
388.000,86.2
388.500,86.2
389.000,86.2
389.500,86.2
390.000,86.2
390.500,86.2
391.000,86.2
391.500,86.2
392.000,86.2
392.500,86.2
393.000,86.2
393.500,86.2
394.000,86.2
394.500,86.2
395.000,86.2
395.500,86.2
396.000,86.2
396.500,86.2
397.000,86.2
397.500,86.2
398.000,86.2
398.500,86.2
399.000,86.2
399.500,86.2
400.000,86.2
400.500,86.2
401.000,86.2
401.500,86.1
402.000,86.1
402.500,86.1
403.000,86.1
403.500,86.1
404.000,86.1
404.500,86.1
405.000,86.1
405.500,86.1
406.000,86.1
406.500,86.1
407.000,86.1
407.500,86.1
408.000,86.1
408.500,86.1
409.000,86.1
409.500,86.1
410.000,86.1
410.500,86.1
411.000,86.1
411.500,86.1
412.000,86.1
412.500,86.1
413.000,86.1
413.500,86.1
414.000,86.1
414.500,86.1
415.000,86.1
415.500,86.1
416.000,86.0
416.500,86.0
417.000,86.0
417.500,86.0
418.000,86.0
418.500,86.0
419.000,86.0
419.500,86.0
420.000,86.0
420.500,86.0
421.000,86.0
421.500,86.0
422.000,86.0
422.500,86.0
423.000,86.0
423.500,86.0
424.000,86.0
424.500,86.0
425.000,86.0
425.500,86.0
426.000,86.0
426.500,86.0
427.000,86.0
427.500,86.0
428.000,86.0
428.500,86.0
429.000,86.0
429.500,86.0
430.000,86.0
430.500,86.0
431.000,86.0
431.500,86.0
432.000,86.0
432.500,86.0
433.000,86.0
433.500,86.0
434.000,86.0
434.500,86.0
435.000,86.0
435.500,86.0
436.000,86.0
436.500,86.0
437.000,86.0
437.500,86.0
438.000,86.0
438.500,85.9
439.000,85.9
439.500,85.9
440.000,85.9
440.500,85.9
441.000,85.9
441.500,85.9
442.000,85.9
442.500,85.9
443.000,85.9
443.500,85.9
444.000,85.8
444.500,85.8
445.000,85.8
445.500,85.8
446.000,85.8
446.500,85.8
447.000,85.8
447.500,85.8
448.000,85.8
448.500,85.7
449.000,85.7
449.500,85.7
450.000,85.7
450.500,85.7
451.000,85.7
451.500,85.7
452.000,85.7
452.500,85.7
453.000,85.7
453.500,85.7
454.000,85.7
454.500,85.7
455.000,85.7
455.500,85.7
456.000,85.7
456.500,85.7
457.000,85.7
457.500,85.7
458.000,85.7
458.500,85.7
459.000,85.7
459.500,85.7
460.000,85.7
460.500,85.7
461.000,85.7
461.500,85.7
462.000,85.7
462.500,85.7
463.000,85.6
463.500,85.6
464.000,85.6
464.500,85.6
465.000,85.6
465.500,85.6
466.000,85.6
466.500,85.6
467.000,85.6
467.500,85.6
468.000,85.6
468.500,85.6
469.000,85.5
469.500,85.5
470.000,85.5
470.500,85.5
471.000,85.5
471.500,85.5
472.000,85.5
472.500,85.5
473.000,85.5
473.500,85.5
474.000,85.5
474.500,85.5
475.000,85.5
475.500,85.5
476.000,85.5
476.500,85.5
477.000,85.5
477.500,85.5
478.000,85.5
478.500,85.5
479.000,85.5
479.500,85.5
480.000,85.5
480.500,85.5
481.000,85.5
481.500,85.5
482.000,85.5
482.500,85.5
483.000,85.5
483.500,85.5
484.000,85.5
484.500,85.5
485.000,85.5
485.500,85.5
486.000,85.5
486.500,85.5
487.000,85.5
487.500,85.5
488.000,85.5
488.500,85.5
489.000,85.5
489.500,85.5
490.000,85.5
490.500,85.5
491.000,85.5
491.500,85.5
492.000,85.5
492.500,85.5
493.000,85.5
493.500,85.5
494.000,85.5
494.500,85.5
495.000,85.5
495.500,85.5
496.000,85.5
496.500,85.4
497.000,85.4
497.500,85.4
498.000,85.4
498.500,85.4
499.000,85.4
499.500,85.4
500.000,85.4
500.500,85.4
501.000,85.4
501.500,85.4
502.000,85.4
502.500,85.4
503.000,85.4
503.500,85.4
504.000,85.4
504.500,85.4
505.000,85.4
505.500,85.4
506.000,85.4
506.500,85.4
507.000,85.4
507.500,85.4
508.000,85.3
508.500,85.3
509.000,85.3
509.500,85.3
510.000,85.3
510.500,85.3
511.000,85.3
511.500,85.3
512.000,85.3
512.500,85.3
513.000,85.3
513.500,85.3
514.000,85.3
514.500,85.3
515.000,85.3
515.500,85.3
516.000,85.3
516.500,85.3
517.000,85.3
517.500,85.3
518.000,85.3
518.500,85.3
519.000,85.3
519.500,85.3
520.000,85.3
520.500,85.3
521.000,85.3
521.500,85.3
522.000,85.3
522.500,85.2
523.000,85.2
523.500,85.2
524.000,85.2
524.500,85.2
525.000,85.2
525.500,85.2
526.000,85.2
526.500,85.2
527.000,85.2
527.500,85.2
528.000,85.2
528.500,85.2
529.000,85.2
529.500,85.2
530.000,85.2
530.500,85.2
531.000,85.2
531.500,85.2
532.000,85.2
532.500,85.2
533.000,85.2
533.500,85.2
534.000,85.2
534.500,85.2
535.000,85.2
535.500,85.2
536.000,85.2
536.500,85.2
537.000,85.2
537.500,85.2
538.000,85.2
538.500,85.2
539.000,85.2
539.500,85.2
540.000,85.2
540.500,85.2
541.000,85.2
541.500,85.2
542.000,85.2
542.500,85.1
543.000,85.1
543.500,85.1
544.000,85.1
544.500,85.1
545.000,85.1
545.500,85.1
546.000,85.1
546.500,85.1
547.000,85.1
547.500,85.1
548.000,85.1
548.500,85.1
549.000,85.1
549.500,85.1
550.000,85.1
550.500,85.1
551.000,85.1
551.500,85.1
552.000,85.1
552.500,85.1
553.000,85.1
553.500,85.1
554.000,85.1
554.500,85.1
555.000,85.1
555.500,85.1
556.000,85.1
556.500,85.1
557.000,85.1
557.500,85.1
558.000,85.1
558.500,85.0
559.000,85.0
559.500,85.0
560.000,85.0
560.500,85.0
561.000,85.0
561.500,85.0
562.000,85.0
562.500,85.0
563.000,85.0
563.500,85.0
564.000,85.0
564.500,85.0
565.000,85.0
565.500,85.0
566.000,85.0
566.500,85.0
567.000,85.0
567.500,85.0
568.000,85.0
568.500,85.0
569.000,84.9
569.500,84.9
570.000,84.9
570.500,84.9
571.000,84.9
571.500,84.9
572.000,84.9
572.500,84.9
573.000,84.9
573.500,84.9
574.000,84.9
574.500,84.9
575.000,84.9
575.500,84.9
576.000,84.9
576.500,84.9
577.000,84.9
577.500,84.9
578.000,84.9
578.500,84.9
579.000,84.9
579.500,84.8
580.000,84.8
580.500,84.8
581.000,84.8
581.500,84.8
582.000,84.8
582.500,84.8
583.000,84.8
583.500,84.8
584.000,84.8
584.500,84.8
585.000,84.8
585.500,84.8
586.000,84.8
586.500,84.8
587.000,84.8
587.500,84.8
588.000,84.8
588.500,84.8
589.000,84.8
589.500,84.8
590.000,84.8
590.500,84.8
591.000,84.8
591.500,84.8
592.000,84.8
592.500,84.8
593.000,84.8
593.500,84.8
594.000,84.8
594.500,84.8
595.000,84.8
595.500,84.8
596.000,84.8
596.500,84.8
597.000,84.8
597.500,84.8
598.000,84.8
598.500,84.8
599.000,84.8
599.500,84.8
600.000,84.8
600.500,84.8
601.000,84.8
601.500,84.8
602.000,84.8
602.500,84.8
603.000,84.7
603.500,84.7
604.000,84.7
604.500,84.7
605.000,84.7
605.500,84.7
606.000,84.7
606.500,84.7
607.000,84.7
607.500,84.7
608.000,84.7
608.500,84.7
609.000,84.7
609.500,84.7
610.000,84.7
610.500,84.7
611.000,84.7
611.500,84.6
612.000,84.6
612.500,84.6
613.000,84.6
613.500,84.6
614.000,84.6
614.500,84.6
615.000,84.6
615.500,84.6
616.000,84.6
616.500,84.6
617.000,84.6
617.500,84.6
618.000,84.6
618.500,84.6
619.000,84.6
619.500,84.6
620.000,84.6
620.500,84.6
621.000,84.6
621.500,84.6
622.000,84.6
622.500,84.6
623.000,84.5
623.500,84.5
624.000,84.5
624.500,84.5
625.000,84.5
625.500,84.5
626.000,84.5
626.500,84.5
627.000,84.5
627.500,84.5
628.000,84.5
628.500,84.5
629.000,84.5
629.500,84.5
630.000,84.5
630.500,84.5
631.000,84.5
631.500,84.5
632.000,84.5
632.500,84.5
633.000,84.5
633.500,84.5
634.000,84.5
634.500,84.5
635.000,84.5
635.500,84.5
636.000,84.5
636.500,84.5
637.000,84.5
637.500,84.5
638.000,84.5
638.500,84.5
639.000,84.5
639.500,84.5
640.000,84.5
640.500,84.5
641.000,84.5
641.500,84.5
642.000,84.5
642.500,84.5
643.000,84.5
643.500,84.5
644.000,84.5
644.500,84.5
645.000,84.5
645.500,84.5
646.000,84.5
646.500,84.5
647.000,84.5
647.500,84.5
648.000,84.5
648.500,84.5
649.000,84.5
649.500,84.5
650.000,84.5
650.500,84.5
651.000,84.4
651.500,84.4
652.000,84.4
652.500,84.4
653.000,84.4
653.500,84.4
654.000,84.4
654.500,84.4
655.000,84.4
655.500,84.4
656.000,84.4
656.500,84.4
657.000,84.4
657.500,84.4
658.000,84.4
658.500,84.4
659.000,84.4
659.500,84.4
660.000,84.3
660.500,84.3
661.000,84.3
661.500,84.3
662.000,84.3
662.500,84.3
663.000,84.3
663.500,84.3
664.000,84.3
664.500,84.3
665.000,84.3
665.500,84.3
666.000,84.3
666.500,84.3
667.000,84.3
667.500,84.3
668.000,84.3
668.500,84.3
669.000,84.3
669.500,84.3
670.000,84.3
670.500,84.3
671.000,84.3
671.500,84.3
672.000,84.3
672.500,84.3
673.000,84.3
673.500,84.3
674.000,84.3
674.500,84.3
675.000,84.3
675.500,84.3
676.000,84.3
676.500,84.3
677.000,84.3
677.500,84.2
678.000,84.2
678.500,84.2
679.000,84.2
679.500,84.2
680.000,84.2
680.500,84.2
681.000,84.2
681.500,84.2
682.000,84.2
682.500,84.2
683.000,84.2
683.500,84.2
684.000,84.2
684.500,84.2
685.000,84.2
685.500,84.2
686.000,84.2
686.500,84.2
687.000,84.2
687.500,84.2
688.000,84.2
688.500,84.2
689.000,84.2
689.500,84.2
690.000,84.2
690.500,84.2
691.000,84.2
691.500,84.1
692.000,84.1
692.500,84.1
693.000,84.1
693.500,84.1
694.000,84.1
694.500,84.1
695.000,84.1
695.500,84.1
696.000,84.1
696.500,84.1
697.000,84.1
697.500,84.1
698.000,84.1
698.500,84.1
699.000,84.1
699.500,84.1
700.000,84.1
700.500,84.1
701.000,84.1
701.500,84.1
702.000,84.1
702.500,84.1
703.000,84.1
703.500,84.1
704.000,84.1
704.500,84.1
705.000,84.1
705.500,84.1
706.000,84.1
706.500,84.1
707.000,84.1
707.500,84.1
708.000,84.1
708.500,84.1
709.000,84.1
709.500,84.1
710.000,84.1
710.500,84.1
711.000,84.1
711.500,84.1
712.000,84.1
712.500,84.1
713.000,84.1
713.500,84.1
714.000,84.1
714.500,84.0
715.000,84.0
715.500,84.0
716.000,84.0
716.500,84.0
717.000,84.0
717.500,84.0
718.000,84.0
718.500,84.0
719.000,84.0
719.500,84.0
720.000,84.0
720.500,84.0
721.000,84.0
721.500,84.0
722.000,84.0
722.500,84.0
723.000,84.0
723.500,84.0
724.000,84.0
724.500,84.0
725.000,84.0
725.500,84.0
726.000,84.0
726.500,84.0
727.000,84.0
727.500,83.9
728.000,83.9
728.500,83.9
729.000,83.9
729.500,83.9
730.000,83.9
730.500,83.9
731.000,83.9
731.500,83.9
732.000,83.9
732.500,83.9
733.000,83.9
733.500,83.9
734.000,83.9
734.500,83.9
735.000,83.9
735.500,83.9
736.000,83.9
736.500,83.9
737.000,83.9
737.500,83.9
738.000,83.9
738.500,83.9
739.000,83.9
739.500,83.9
740.000,83.9
740.500,83.9
741.000,83.9
741.500,83.9
742.000,83.9
742.500,83.9
743.000,83.9
743.500,83.9
744.000,83.9
744.500,83.8
745.000,83.8
745.500,83.8
746.000,83.8
746.500,83.8
747.000,83.8
747.500,83.8
748.000,83.8
748.500,83.8
749.000,83.8
749.500,83.8
750.000,83.8
750.500,83.8
751.000,83.8
